,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020
00:00,29421.283333,28563.916667,27262.700000,28755.316667,27906.033333,27472.650000,29591.816667,29771.500000,29880.483333,29872.333333,30213.366667,28945.166667,28652.416667,30756.500000,30979.433333,30197.100000,29296.133333,30140.800000,29404.416667,28108.883333,28664.716667,29800.400000,30137.266667,29513.683333,30960.783333,28303.483333,27214.366667,28713.683333,28112.466667,28978.383333,28933.283333
01:00,28063.600000,27401.450000,26103.283333,27536.316667,26726.416667,26151.950000,28122.816667,28420.400000,28540.700000,28443.683333,28789.850000,27591.933333,27285.800000,29306.850000,29682.033333,28904.383333,27870.833333,28685.633333,28182.416667,26753.533333,27390.616667,28480.550000,28830.233333,28224.216667,29639.166667,27079.000000,26041.166667,27496.366667,26858.950000,27732.933333,27633.383333
02:00,27057.183333,26465.500000,25256.900000,26318.916667,25740.250000,25148.266667,27058.366667,27401.533333,27513.383333,27314.400000,27649.983333,26635.383333,26248.500000,28078.766667,28577.766667,27802.116667,26852.400000,27620.800000,27119.766667,25803.050000,26450.583333,27439.700000,27769.566667,27171.050000,28542.333333,26085.366667,24989.666667,26546.933333,26050.800000,26797.016667,26632.400000
03:00,26177.783333,25713.416667,24586.733333,25569.100000,24820.733333,24543.200000,26262.733333,26580.533333,26605.250000,26469.183333,26773.783333,25738.766667,25496.600000,27289.516667,27765.050000,27032.716667,26145.883333,26717.100000,26242.033333,24938.733333,25718.166667,26581.283333,26915.816667,26346.250000,27557.800000,25333.616667,24331.450000,25853.350000,25294.866667,26096.866667,25869.483333
04:00,25647.800000,25217.433333,24193.733333,25070.250000,24267.033333,24089.216667,25545.750000,25997.766667,25929.066667,25732.516667,26100.250000,24997.550000,25003.466667,26624.766667,27205.016667,26382.133333,25615.350000,25981.233333,25582.416667,24404.383333,25165.800000,26074.683333,26284.266667,25813.600000,26900.016667,24710.750000,23972.200000,25305.516667,24890.133333,25482.233333,25351.683333
05:00,25206.583333,24644.800000,23877.400000,24500.900000,23684.583333,23648.283333,25218.933333,25462.350000,25429.100000,25169.300000,25371.866667,24429.216667,24572.433333,26089.366667,26578.016667,25988.883333,25229.433333,25367.650000,24902.616667,23914.916667,24765.183333,25575.016667,25945.916667,25427.616667,26273.766667,24143.266667,23667.950000,25023.316667,24594.650000,25283.916667,25055.383333
06:00,25350.047000,24926.672833,24182.371833,24278.717833,23613.860500,24073.005833,25401.268500,25639.245667,25592.098000,25356.497000,25162.568667,24279.627167,24863.447667,26198.053167,26718.935500,26049.817167,25405.640667,25315.765333,24637.948333,24261.356667,25061.363667,25907.551667,26062.421000,25566.437333,25906.185833,23806.631667,23964.981333,25236.857667,24943.104500,25452.320500,25236.510167
07:00,26689.600000,26354.181500,25711.637500,24787.241667,24078.525167,25770.846167,26772.847167,27017.809000,26925.956167,26800.479000,25734.827833,24583.666833,26515.718500,27571.017167,27912.582333,27426.804833,26950.365667,25836.191833,25167.198500,26080.642833,26700.573333,27399.493333,27575.490500,27097.782000,26299.306500,24237.402500,25813.910833,26769.109833,26483.307500,26893.340333,26645.462667
08:00,31326.502000,30929.747500,29956.315167,26468.027000,25055.263167,30722.032167,31285.453500,31693.544500,31252.101833,31115.608000,27351.246667,25528.680500,31420.696333,32407.627333,32276.147833,31761.010333,31361.368583,27575.288500,26102.318667,31196.862833,31402.912667,31973.498667,32116.187000,31684.856000,27821.350500,25338.476667,30801.935833,31588.847167,30975.567500,31079.427000,30944.997833
09:00,33741.167500,33179.465000,32252.094667,27896.166000,26053.503667,33167.246000,33467.569167,33997.633167,33700.883667,33406.802833,28871.977500,26740.337833,33950.902000,34782.235000,34725.126000,33816.606667,33450.570667,29047.307000,27229.354167,33871.469500,33746.350833,34295.273833,34501.439500,33993.998667,29499.306833,26620.081500,33476.143333,33957.224167,33377.678500,33106.095833,33213.679000
10:00,34571.106500,34148.418500,33236.202500,29244.751167,27181.877500,33871.650000,34233.001833,34620.335167,34400.076833,34295.279500,30287.204167,27948.286667,35023.387833,35508.448833,35260.756167,34652.071167,34118.909333,30363.080167,28415.145833,34778.210333,34657.970500,35176.336500,35496.661167,34912.629500,30789.382000,27805.488833,34528.892000,34740.305167,34123.668500,34109.670333,33987.779667
11:00,35507.520000,35088.861500,34334.825500,30418.342167,28383.702667,34748.991000,35281.631500,35685.015833,35380.593167,35581.652667,31379.749833,29173.604667,36162.408000,36732.788500,35996.740000,35497.444000,35398.912833,31519.585500,29682.373833,35924.685167,35673.252167,36081.128167,36631.916667,36102.451167,31557.643333,29019.729333,35602.815500,35842.619833,35238.104167,35178.799333,35125.048167
12:00,34733.564000,34260.410000,33820.403500,30812.639000,29159.720500,33841.160333,34540.378167,34940.613167,34719.570833,35070.788500,31733.958167,30054.736500,35516.564167,35909.662667,34984.770167,34597.315333,34830.745000,31870.264667,30446.469000,35410.824000,34861.394333,35333.970167,36000.526833,35540.468167,31790.254667,29721.971000,34977.884667,34858.107500,34430.882333,34046.123000,34282.116000
13:00,35969.231167,35516.638500,35213.366333,31610.900500,29519.986667,35323.650167,35754.802667,36452.852833,36111.012167,36347.847833,32518.167167,30500.821333,37017.834500,37370.505000,36264.930167,35493.540667,36236.209167,32901.779000,31106.985333,36945.470833,36365.000167,36809.976833,37477.720000,36999.858167,32489.467500,30114.293333,36277.404667,35980.093500,35786.084833,35203.721333,35731.024833
14:00,35971.440500,35152.267667,35477.111667,31564.173667,29528.300833,35671.571333,36101.412667,36758.720000,36362.331833,36524.969000,32615.549333,30525.923000,37331.219667,37495.107500,36559.171167,35604.583667,36584.940167,32806.015833,30832.934000,37108.154667,36520.682333,37149.992000,37709.241167,37335.520333,32218.303000,29708.069667,36285.579333,35786.918333,36116.318167,35177.544833,35954.367000
15:00,35190.519500,34461.519500,35028.865500,31293.540167,29180.730667,35446.314667,35831.577667,36297.978000,36037.803167,36094.943333,32092.671167,30270.481833,36973.916333,37027.126000,36216.302833,35051.262833,36283.164167,32481.843833,30178.260167,36386.370500,36135.942333,36691.974167,37270.359000,37017.208333,31410.229167,29172.041833,35612.925500,35132.303167,35738.283833,34757.804167,35693.702333
16:00,34510.456167,33824.278000,34614.640833,30911.207333,29007.863500,35145.128000,35406.565667,35736.689500,35661.782000,35441.820833,31648.943333,30049.650167,36456.399167,36625.453667,35750.543833,34770.659833,35809.295333,32182.059500,29620.675500,35376.218500,35629.321000,36110.880333,36221.272167,36460.026333,30936.982000,28844.107000,34721.811667,34644.016500,35233.724000,34541.422833,35306.848333
17:00,33324.523500,32615.530833,33187.307167,30480.225333,29195.092667,34073.534667,34448.695167,34516.411167,34729.941000,34393.235667,31095.443167,30069.266500,35326.630708,35466.469167,34555.840333,33839.999833,34485.279500,31591.274833,29615.643500,33723.589667,34473.303833,34863.410167,34732.102500,35188.733000,30396.853500,28944.683667,33354.451167,33295.250667,33937.451500,33540.271500,34046.370833
18:00,33122.113667,32355.448667,33050.203333,30513.316833,29654.669500,33967.135000,34449.174667,34531.649000,34733.587333,34208.664833,31039.677667,30431.714500,35108.394348,35197.411667,34587.748500,33739.242000,34192.830833,31603.020500,29992.446667,33333.019500,34278.109167,34636.721167,34446.280500,34879.212000,30664.284333,29406.014667,33038.471667,32982.339000,33652.064000,33425.145667,33791.460167
19:00,33357.605167,32354.937833,33330.347667,31120.240500,30456.255833,34363.852167,34887.569500,34972.057500,35167.101000,34608.905833,31756.509500,31284.224167,35464.789795,35708.689167,35016.621333,34163.870000,34539.489000,32126.683167,30882.990833,33387.987667,34560.210833,35005.506167,34572.326833,35090.476500,31233.888000,29991.873667,33233.413333,33151.577333,33849.178667,33781.338833,34040.827667
20:00,33000.200000,31927.000000,32835.116667,31153.633333,30872.100000,34050.450000,34655.750000,34495.616667,34860.783333,34236.333333,31716.666667,31774.150000,35307.683333,35406.983333,34697.883333,33764.733333,34162.583333,32284.916667,31254.050000,32993.316667,34194.616667,34546.033333,34053.166667,34846.650000,31269.433333,30186.700000,32835.466667,32595.983333,33393.383333,33390.266667,33683.016667
21:00,32327.150000,31144.850000,32095.900000,30837.783333,30753.783333,33473.133333,33761.466667,33789.483333,34011.183333,33557.316667,31640.483333,31875.133333,34652.250000,34721.150000,33985.433333,33092.966667,33505.966667,32153.000000,31347.716667,32227.450000,33404.633333,33893.900000,33360.450000,34179.333333,31042.316667,30217.533333,32139.966667,31674.050000,32653.716667,32630.266667,32994.316667
22:00,31200.150000,29972.250000,31097.633333,30156.166667,30156.616667,32494.016667,32789.150000,32891.633333,33016.533333,32786.033333,31117.983333,31335.783333,33693.166667,33843.583333,32932.083333,32026.066667,32643.716667,31702.050000,30577.350000,31357.816667,32466.400000,32924.016667,32269.816667,33347.916667,30466.966667,29543.916667,31194.366667,30713.033333,31700.916667,31760.566667,32128.233333
23:00,30177.933333,28820.400000,30247.233333,29209.333333,28881.950000,31297.616667,31593.933333,31569.233333,31744.216667,31759.550000,30302.350000,30083.833333,32565.016667,32807.966667,31893.783333,30934.100000,31671.666667,30796.966667,29410.266667,30288.250000,31538.900000,31882.616667,31205.816667,32622.800000,29558.516667,28491.766667,30249.733333,29685.650000,30696.300000,30701.233333,31222.316667
