source,label,S1,S1_conf,ST,ST_conf,capacity_gw
K_structural,K（結構性負荷）,0.9063395322980895,0.06663444282155005,0.9018574336831694,0.054054369099053895,40
beta_statistical,β_h（回歸統計）,0.007745562977036803,0.007395997501152347,0.008238926898250488,0.0010204827662843854,40
climate,氣候情境,0.0849803262607705,0.02564896641317399,0.08288905506260229,0.011329294539897948,40
radiation,輻射縮放（±5%）,0.003276773551544249,0.005890945340218162,0.003959989088958579,0.00034214694143259316,40
K_structural,K（結構性負荷）,0.7827662814854398,0.06912364825958155,0.7713562051013095,0.05844759686473827,60
beta_statistical,β_h（回歸統計）,0.0038252974268852516,0.005666358483781457,0.005016552386980638,0.0005871717425819785,60
climate,氣候情境,0.21348501001912878,0.042669430497534785,0.21012516815534119,0.024775801479712055,60
radiation,輻射縮放（±5%）,0.004738660972545985,0.006828529361772312,0.005989442189722399,0.0006426558954916483,60
K_structural,K（結構性負荷）,0.6357824934572778,0.06467562152636945,0.622105858390614,0.05124262147551463,80
beta_statistical,β_h（回歸統計）,0.0022724824350410597,0.004431048089538104,0.0033735835803636693,0.0004259036955196055,80
climate,氣候情境,0.362991206198818,0.06245539510233774,0.35898803333705204,0.042399472120557974,80
radiation,輻射縮放（±5%）,0.005030231556376369,0.006998888874700633,0.007754025299406792,0.0009649421878881038,80
